date,description,amount,type,category
22 Sept 2025,To Theo new house,5.0,expense,Transfer
22 Sept 2025,To Theo new house,10.0,expense,Transfer
23 Sept 2025,Interest earned - Theo new house,0.01,income,Interest
23 Sept 2025,To Theo new house,5.0,expense,Transfer
23 Sept 2025,To Theo new house,3.8,expense,Transfer
24 Sept 2025,Interest earned - Theo new house,0.01,income,Interest
24 Sept 2025,From Theo new house,30.0,income,Transfer
25 Sept 2025,Interest earned - Theo new house,0.0,income,Interest
25 Sept 2025,From Theo new house,50.0,income,Transfer
25 Sept 2025,To Theo new house,5.0,expense,Transfer
25 Sept 2025,To Theo new house,10.0,expense,Transfer
25 Sept 2025,From Theo new house,45.0,income,Transfer
25 Sept 2025,To Theo new house,1.5,expense,Transfer
26 Sept 2025,Interest earned - Theo new house,0.01,income,Interest
27 Sept 2025,Interest earned - Theo new house,0.01,income,Interest
27 Sept 2025,To Theo new house,5.0,expense,Transfer
28 Sept 2025,Interest earned - Theo new house,0.0,income,Interest
28 Sept 2025,To Theo new house,5.0,expense,Transfer
28 Sept 2025,From Theo new house,50.0,income,Transfer
28 Sept 2025,To Theo new house,8.5,expense,Transfer
28 Sept 2025,From Theo new house,20.0,income,Transfer
28 Sept 2025,To Theo new house,3.3,expense,Transfer
29 Sept 2025,To Theo new house,300.0,expense,Transfer
29 Sept 2025,To Theo new house,5.0,expense,Transfer
30 Sept 2025,Interest earned - Theo new house,0.02,income,Interest
30 Sept 2025,From Theo new house,200.0,income,Transfer
30 Sept 2025,To Theo new house,2.3,expense,Transfer
30 Sept 2025,To Theo new house,5.0,expense,Transfer
30 Sept 2025,To Theo new house,10.0,expense,Transfer
1 Oct 2025,Interest earned - Theo new house,0.01,income,Interest
1 Oct 2025,To Theo new house,100.0,expense,Transfer
1 Oct 2025,To Theo new house,7.4,expense,Transfer
1 Oct 2025,To Theo new house,0.4,expense,Transfer
1 Oct 2025,To Theo new house,5.0,expense,Transfer
2 Oct 2025,Interest earned - Theo new house,0.01,income,Interest
2 Oct 2025,To Theo new house,5.0,expense,Transfer
3 Oct 2025,Interest earned - Theo new house,0.01,income,Interest
3 Oct 2025,From Theo new house,100.0,income,Transfer
3 Oct 2025,To Theo new house,8.8,expense,Transfer
3 Oct 2025,To Theo new house,1.2,expense,Transfer
4 Oct 2025,Interest earned - Theo new house,0.01,income,Interest
5 Oct 2025,Interest earned - Theo new house,0.01,income,Interest
6 Oct 2025,Interest earned - Theo new house,0.01,income,Interest
6 Oct 2025,From Theo new house,100.0,income,Transfer
6 Oct 2025,To Theo new house,5.0,expense,Transfer
6 Oct 2025,To Theo new house,3.5,expense,Transfer
6 Oct 2025,To Theo new house,3.4,expense,Transfer
7 Oct 2025,From Theo new house,100.0,income,Transfer
7 Oct 2025,To Theo new house,3.5,expense,Transfer
7 Oct 2025,To Theo new house,5.0,expense,Transfer
7 Oct 2025,To Theo new house,10.0,expense,Transfer
7 Oct 2025,To Theo new house,4600.0,expense,Transfer
8 Oct 2025,Interest earned - Theo new house,0.2,income,Interest
8 Oct 2025,To Theo new house,2.5,expense,Transfer
8 Oct 2025,To Theo new house,7.7,expense,Transfer
8 Oct 2025,To Theo new house,2.1,expense,Transfer
8 Oct 2025,To Theo new house,5.0,expense,Transfer
9 Oct 2025,Interest earned - Theo new house,0.18,income,Interest
9 Oct 2025,From Theo new house,2900.0,income,Transfer
9 Oct 2025,From Theo new house,200.0,income,Transfer
9 Oct 2025,To Theo new house,5.0,expense,Transfer
9 Oct 2025,To Theo new house,5.0,expense,Transfer
10 Oct 2025,Interest earned - Theo new house,0.07,income,Interest
10 Oct 2025,To Theo new house,5.0,expense,Transfer
11 Oct 2025,Interest earned - Theo new house,0.07,income,Interest
11 Oct 2025,To Theo new house,5.0,expense,Transfer
11 Oct 2025,From Theo new house,400.0,income,Transfer
11 Oct 2025,To Theo new house,0.3,expense,Transfer
11 Oct 2025,To Theo new house,6.5,expense,Transfer
11 Oct 2025,From Theo new house,500.0,income,Transfer
11 Oct 2025,To Theo new house,10.0,expense,Transfer
12 Oct 2025,Interest earned - Theo new house,0.03,income,Interest
12 Oct 2025,To Theo new house,5.0,expense,Transfer
13 Oct 2025,Interest earned - Theo new house,0.02,income,Interest
13 Oct 2025,To Theo new house,10.0,expense,Transfer
13 Oct 2025,To Theo new house,5.0,expense,Transfer
14 Oct 2025,Interest earned - Theo new house,0.04,income,Interest
14 Oct 2025,To Theo new house,5.0,expense,Transfer
14 Oct 2025,To Theo new house,0.3,expense,Transfer
15 Oct 2025,Interest earned - Theo new house,0.02,income,Interest
15 Oct 2025,To Theo new house,8.7,expense,Transfer
15 Oct 2025,To Theo new house,5.0,expense,Transfer
15 Oct 2025,To Theo new house,5.4,expense,Transfer
15 Oct 2025,To Theo new house,8.8,expense,Transfer
16 Oct 2025,Interest earned - Theo new house,0.04,income,Interest
16 Oct 2025,From Theo new house,60.0,income,Transfer
